id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,question_en_clean,question_ru_clean,combined_question
83,Does dengue cause swelling around eyes?,Kya dengue me aankhon ke gird soojan hoti hai?,Mild swelling may appear but significant swelling is concerning.,Halki soojan hosakti hai lekin zyada soojan par muaina zaroori hai.,eye;swelling,Clinical,urgent-care,does dengue cause swelling around eyes,kya dengue me aankhon ke gird soojan hoti hai,does dengue cause swelling around eyes kya dengue me aankhon ke gird soojan hoti hai
84,Can dengue cause noise sensitivity?,Kya dengue me awazon se takleef hoti hai?,"Yes, headache may increase noise sensitivity.","Haan, sar dard se awazon se takleef barh sakti hai.",symptoms,Clinical,general,can dengue cause noise sensitivity,kya dengue me awazon se takleef hoti hai,can dengue cause noise sensitivity kya dengue me awazon se takleef hoti hai
85,Does dengue cause light sensitivity?,Kya dengue me roshni se takleef hoti hai?,"Yes, severe headache can cause sensitivity to light.","Haan, shadeed sar dard roshni se takleef paida karta hai.",symptoms;eye,WHO,general,does dengue cause light sensitivity,kya dengue me roshni se takleef hoti hai,does dengue cause light sensitivity kya dengue me roshni se takleef hoti hai
86,Why does dengue cause full-body pain?,Dengue me poora jism kyu dard karta hai?,The immune response and inflammation affect multiple muscles.,Immune nizaam aur soozish puray jism ko mutasir karti hai.,body_pain,WHO,general,why does dengue cause fullbody pain,dengue me poora jism kyu dard karta hai,why does dengue cause fullbody pain dengue me poora jism kyu dard karta hai
87,Can dengue cause shoulder pain?,Kya dengue me kandhon me dard hota hai?,"Yes, generalized muscle pain may extend to shoulders.","Haan, aam jism dard kandhon tak hosakta hai.",muscle,Clinical,general,can dengue cause shoulder pain,kya dengue me kandhon me dard hota hai,can dengue cause shoulder pain kya dengue me kandhon me dard hota hai
88,Does dengue cause sinus pain?,Kya dengue me sinuses me dard hota hai?,Not typical; evaluate if sinus symptoms dominate.,Aam nahi; agar sirf sinus me dard ho to muaina karein.,symptoms,Clinical,general,does dengue cause sinus pain,kya dengue me sinuses me dard hota hai,does dengue cause sinus pain kya dengue me sinuses me dard hota hai
89,Can dengue cause burning skin?,Kya dengue me jild jalti hui mehsoos hoti hai?,Some feel burning sensation due to skin sensitivity.,Kuch log jild me jalan mehsoos karte hain.,skin,Clinical,general,can dengue cause burning skin,kya dengue me jild jalti hui mehsoos hoti hai,can dengue cause burning skin kya dengue me jild jalti hui mehsoos hoti hai
90,Does dengue cause sharp headaches?,Kya dengue me teekhay sar dard hotay hain?,"Yes, severe and sharp headaches are common.","Haan, shadeed aur teekhay sar dard aam hain.",symptoms,WHO,general,does dengue cause sharp headaches,kya dengue me teekhay sar dard hotay hain,does dengue cause sharp headaches kya dengue me teekhay sar dard hotay hain
91,Does dengue cause sudden fatigue?,Kya dengue me achanak thakan hoti hai?,"Yes, sudden fatigue is common early in illness.","Haan, shuru me achanak thakan aam hoti hai.",fatigue,Clinical,general,does dengue cause sudden fatigue,kya dengue me achanak thakan hoti hai,does dengue cause sudden fatigue kya dengue me achanak thakan hoti hai
92,Can dengue cause mild diarrhea?,Kya dengue me halki dast ho sakti hain?,"Some patients may have loose stools, but severe diarrhea is uncommon.",Kuch mareezon me halki dast hosakti hain; shadeed dast aam nahi.,gastro,WHO,general,can dengue cause mild diarrhea,kya dengue me halki dast ho sakti hain,can dengue cause mild diarrhea kya dengue me halki dast ho sakti hain
93,Does dengue cause bloating?,Kya dengue me pait phoolta hai?,Mild bloating may occur; severe abdominal distension needs evaluation.,Halki phoolan hosakti hai; zyada phoolan ka muaina zaroori hai.,symptoms;abdomen,Clinical,urgent-care,does dengue cause bloating,kya dengue me pait phoolta hai,does dengue cause bloating kya dengue me pait phoolta hai
94,Can dengue cause burning feet?,Kya dengue me paon jalte hain?,Rare but possible due to nerve irritation.,Kam hota hai lekin nerve irritation se hosakta hai.,neuro,Clinical,general,can dengue cause burning feet,kya dengue me paon jalte hain,can dengue cause burning feet kya dengue me paon jalte hain
95,Does dengue cause headache without fever?,Kya dengue me bukhar ke baghair sar dard hosakta hai?,"Usually headache comes with fever, but early infection may show isolated headache.",Aksar sar dard bukhar ke sath hota hai magar shuruati soorat me alag bhi hosakta hai.,symptoms,Clinical,general,does dengue cause headache without fever,kya dengue me bukhar ke baghair sar dard hosakta hai,does dengue cause headache without fever kya dengue me bukhar ke baghair sar dard hosakta hai
96,Can dengue cause slow heart rate?,Kya dengue me dharkan sust hosakti hai?,Uncommon; evaluate immediately if present.,Aam nahi; agar ho to foran muaina karein.,cardio,Clinical,urgent-care,can dengue cause slow heart rate,kya dengue me dharkan sust hosakti hai,can dengue cause slow heart rate kya dengue me dharkan sust hosakti hai
97,Does dengue affect the tongue?,Kya dengue zaban par asar karta hai?,Coating or dryness may occur due to dehydration.,Dehydration ki wajah se zaban khushk ya coated hosakti hai.,symptoms;hydration,Clinical,general,does dengue affect the tongue,kya dengue zaban par asar karta hai,does dengue affect the tongue kya dengue zaban par asar karta hai
98,Does dengue cause unusual dreams?,Kya dengue me ajeeb khwabon ka masla hota hai?,Fever can disturb sleep patterns and cause vivid dreams.,Bukhar neend ko mutasir karta hai jis se ajeeb khwab aasaktay hain.,sleep,Clinical,general,does dengue cause unusual dreams,kya dengue me ajeeb khwabon ka masla hota hai,does dengue cause unusual dreams kya dengue me ajeeb khwabon ka masla hota hai
99,Can dengue cause pain in ribs?,Kya dengue me pasliyon me dard hosakta hai?,Generalized body pain may extend to rib areas.,Jism dard pasliyon tak mehsoos hosakta hai.,body_pain,Clinical,general,can dengue cause pain in ribs,kya dengue me pasliyon me dard hosakta hai,can dengue cause pain in ribs kya dengue me pasliyon me dard hosakta hai
100,Is mild abdominal discomfort normal?,Kya dengue me halka pait dard normal hai?,"Mild discomfort can occur, but severe pain is a warning sign.",Halka pait dard hosakta hai lekin shadeed dard khatwarning alamat hai.,symptoms;abdomen,WHO,urgent-care,is mild abdominal discomfort normal,kya dengue me halka pait dard normal hai,is mild abdominal discomfort normal kya dengue me halka pait dard normal hai
101,What day should I do the NS1 test for dengue?,NS1 test kis din karwana chahiye?,NS1 antigen is most accurate in the first 1–5 days of illness.,NS1 antigen pehle 1–5 din me sab se zyada sahi hota hai.,diagnosis;testing,WHO/CDC,general,what day should i do the ns1 test for dengue,ns1 test kis din karwana chahiye,what day should i do the ns1 test for dengue ns1 test kis din karwana chahiye
102,When is PCR useful in dengue?,Dengue me PCR kab faydemand hota hai?,PCR detects the virus in days 1–5 and confirms early infection.,PCR pehle 1–5 din me virus ko behtareen tor par pakarta hai.,diagnosis;testing,WHO,general,when is pcr useful in dengue,dengue me pcr kab faydemand hota hai,when is pcr useful in dengue dengue me pcr kab faydemand hota hai
103,What does a positive IgM mean?,IgM positive ka kya matlab hota hai?,IgM becomes positive around day 4–5 and indicates a recent dengue infection.,IgM aam tor par din 4–5 ke baad positive hota hai jo haal hi ka dengue infection dikhata hai.,diagnosis;serology,WHO,general,what does a positive igm mean,igm positive ka kya matlab hota hai,what does a positive igm mean igm positive ka kya matlab hota hai
104,What does IgG show in dengue?,IgG dengue me kya batata hai?,IgG shows past exposure; high levels with symptoms can support diagnosis.,IgG guzishta dengue infection ka asar dikhata hai.,diagnosis;serology,WHO,general,what does igg show in dengue,igg dengue me kya batata hai,what does igg show in dengue igg dengue me kya batata hai
105,Why does fever drop before complications?,Bukhar complications se pehle kyun girta hai?,The critical phase usually starts as fever falls between days 3–7.,Critical phase aam tor par din 3–7 me bukhar girne ke sath shuru hoti hai.,timeline;warning_signs,WHO,urgent-care,why does fever drop before complications,bukhar complications se pehle kyun girta hai,why does fever drop before complications bukhar complications se pehle kyun girta hai
106,What is plasma leakage?,Plasma leakage kya hota hai?,"Leaky blood vessels cause fluids to move out of circulation, leading to complications.",Ragoon ke leak hone se maye jism ke bahar nikal jata hai aur halat bigar sakti hai.,severe_dengue;complications,WHO,urgent-care,what is plasma leakage,plasma leakage kya hota hai,what is plasma leakage plasma leakage kya hota hai
107,What is dengue shock?,Dengue shock kya hota hai?,Dangerously low blood pressure caused by severe plasma leakage; this is a medical emergency.,Shadeed plasma leakage se blood pressure bohat kam ho jata hai—ye emergency hai.,severe_dengue;shock,WHO,emergency,what is dengue shock,dengue shock kya hota hai,what is dengue shock dengue shock kya hota hai
108,What is hemoconcentration in dengue?,Dengue me hemoconcentration kya hai?,A rising hematocrit indicates plasma leakage and requires close monitoring.,Hematocrit ka barhna plasma leakage ki nishani hoti hai.,labs;monitoring,WHO,urgent-care,what is hemoconcentration in dengue,dengue me hemoconcentration kya hai,what is hemoconcentration in dengue dengue me hemoconcentration kya hai
109,How often should CBC be checked?,CBC kitni dafa check karna chahiye?,"During days 3–7, CBC may need checking daily or more often based on symptoms.",Din 3–7 me CBC ko rozana ya zarurat ke mutabiq bar bar check karna parta hai.,labs;monitoring,WHO,general,how often should cbc be checked,cbc kitni dafa check karna chahiye,how often should cbc be checked cbc kitni dafa check karna chahiye
110,Do low platelets always need transfusion?,Kya kam platelets me transfusion zaruri hota hai?,"No. Transfusion depends on bleeding, not just platelet numbers.","Nahi. Transfusion bleeding ki surat me hota hai, sirf number par nahi.",labs;platelets,WHO,urgent-care,do low platelets always need transfusion,kya kam platelets me transfusion zaruri hota hai,do low platelets always need transfusion kya kam platelets me transfusion zaruri hota hai
111,Which painkiller is safe in dengue?,Dengue me kaunsi dard ki dawa sahi hai?,"Use only paracetamol. Avoid ibuprofen, aspirin, and NSAIDs due to bleeding risk.","Sirf paracetamol istemal karein. Ibuprofen, aspirin se parhez karein.",medications;safe,WHO,general,which painkiller is safe in dengue,dengue me kaunsi dard ki dawa sahi hai,which painkiller is safe in dengue dengue me kaunsi dard ki dawa sahi hai
112,How much water should adults drink?,Baron ko kitna pani peena chahiye?,"Drink frequent small amounts of water, ORS, soups, or juices to prevent dehydration.","Choti choti matra me pani, ORS, yakhni ya juice pite rahain.",hydration;home_care,WHO,general,how much water should adults drink,baron ko kitna pani peena chahiye,how much water should adults drink baron ko kitna pani peena chahiye
113,Is severe abdominal pain dangerous?,Shadeed pait ka dard khatarnak hai?,Yes. Severe abdominal pain is a warning sign and needs urgent medical care.,Haan. Shadeed pait ka dard khatwarning alamat hai aur foran muaina zaruri hai.,warning_signs;abdomen,WHO,urgent-care,is severe abdominal pain dangerous,shadeed pait ka dard khatarnak hai,is severe abdominal pain dangerous shadeed pait ka dard khatarnak hai
114,Is gum or nose bleeding serious?,Naak ya masoodon se khoon nikalna khatarnak hai?,Yes. It can indicate severe dengue and needs urgent evaluation.,"Haan, ye severe dengue ki nishani ho sakta hai—jaldi muaina zaruri hai.",warning_signs;bleeding,WHO,urgent-care,is gum or nose bleeding serious,naak ya masoodon se khoon nikalna khatarnak hai,is gum or nose bleeding serious naak ya masoodon se khoon nikalna khatarnak hai
115,What is the role of ORS?,ORS dengue me kitna faida deta hai?,ORS replaces fluids and electrolytes and helps prevent dehydration.,ORS maye aur namak ki kami ko poora karta hai aur dehydration rokta hai.,hydration;home_care,WHO,general,what is the role of ors,ors dengue me kitna faida deta hai,what is the role of ors ors dengue me kitna faida deta hai
116,Can dengue affect the liver?,Kya dengue jigar ko mutasir karta hai?,Yes. Mild liver inflammation is common; severe cases need hospital care.,"Haan, jigar ke enzymes barh sakte hain; shadeed soorat me hospital darkar hota hai.",complications;liver,WHO,urgent-care,can dengue affect the liver,kya dengue jigar ko mutasir karta hai,can dengue affect the liver kya dengue jigar ko mutasir karta hai
117,Is vomiting a warning sign?,Kya bar bar ulti khatwarning alamat hai?,Yes. Persistent vomiting is dangerous and needs urgent care.,"Haan, lagatar ulti khatwarning alamat hai aur foran madad ki zarurat hoti hai.",warning_signs;vomiting,WHO,urgent-care,is vomiting a warning sign,kya bar bar ulti khatwarning alamat hai,is vomiting a warning sign kya bar bar ulti khatwarning alamat hai
118,Does dengue always require hospitalization?,Kya dengue me hamesha hospital jana hota hai?,No. Only patients with warning signs or severe disease require admission.,Nahi. Sirf un logon ko admission chahiye jinke paas khatwarning alamat ya severe dengue ho.,triage;care,WHO,general,does dengue always require hospitalization,kya dengue me hamesha hospital jana hota hai,does dengue always require hospitalization kya dengue me hamesha hospital jana hota hai
119,What is capillary refill?,Capillary refill kya hai?,A quick test of circulation; slow refill may indicate shock.,Yeh dola shariyan ka test hai; dheema refill shock ki nishani ho sakta hai.,assessment;shock,WHO,urgent-care,what is capillary refill,capillary refill kya hai,what is capillary refill capillary refill kya hai
