id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level
128,Does AC reduce dengue risk?,Kya AC dengue ka khatra kam karta hai?,"Cool, closed rooms reduce mosquitoes but do not replace repellents.",Thanday band kamray machar kam karte hain magar repellent ki zarurat rehti hai.,prevention;environment,WHO,general
129,When do Aedes bite?,Aedes machar kis waqt kaat-te hain?,They bite during the day—especially early morning and late afternoon.,Yeh din me kaat-te hain—subah jaldi aur shaam ko zyada.,mosquito_behavior,WHO,general
130,Is fumigation enough?,Kya sirf fumigation se dengue rukta hai?,No. It temporarily kills adult mosquitoes but does not stop breeding.,Nahi. Yeh baray machron ko kuch der ke liye kam karta hai lekin breeding ko nahi rokh sakta.,mosquito_control;community,Public health,general
131,Can children take paracetamol?,Kya bachay paracetamol le sakte hain?,"Yes, based on weight and doctor advice.","Haan, wazan aur doctor ki hidayat ke mutabiq.",pediatrics;medications,WHO,general
132,Are infants at higher risk?,Kya novzadaan zyada khatre me hote hain?,Yes. They can worsen quickly and need close monitoring.,"Haan, unki halat jaldi bigar sakti hai; qareebi nigrani chahiye.",pediatrics;risks,WHO,urgent-care
133,Is dengue dangerous for elderly?,Buzurg logon ke liye dengue khatarnak hai?,Yes. Older adults have higher risk of complications.,"Haan, buzurgon me complications ka khatra zyada hota hai.",geriatrics;risks,WHO,urgent-care
134,What to know about dengue in pregnancy?,Hamal me dengue ke bare me kya maloom hona chahiye?,Pregnancy needs careful monitoring and hydration; avoid NSAIDs.,Hamal me nigrani aur hydration zaruri hai; NSAIDs se parhez.,pregnancy;triage,WHO,urgent-care
135,Can dengue affect the fetus?,Kya dengue janin ko mutasir karta hai?,Maternal dengue can increase risk; follow obstetric guidance.,"Haan, kuch khatrey barh sakte hain; obstetric hidayat zaruri hai.",pregnancy;risks,WHO,urgent-care
136,Is breastfeeding allowed?,Kya breastfeeding dengue ke baad theek hai?,Yes. Continue breastfeeding and maintain hydration.,"Haan, breastfeeding jaari rakh sakti hain; pani ka khayal rakhein.",breastfeeding;recovery,WHO,general
137,Can I travel with dengue?,Kya dengue me safar kar sakta hoon?,Avoid travel until recovered and cleared by a doctor.,Sehat yab hone aur doctor ki ijazat ke baghair safar na karein.,travel;triage,WHO,urgent-care
138,How to protect travelers?,Mussafiron ko dengue se bachao kaise?,"Use repellents, screens, and avoid standing water near lodging.","Repellent, jhaliyaan aur ruka pani dur karen.",travel;prevention,WHO,general
139,What community actions reduce dengue?,Community level par dengue kam kaise hota hai?,"Weekly cleanup, covering tanks, removing waste, and awareness programs.","Hafte war safai, tankon ko dhakna, kachra dur karna aur agahi muhim zaruri hain.",community;prevention,Public health,general
140,Are school campaigns helpful?,School dengue muhim faydemand hain?,Yes. Students help identify standing water and promote repellents.,"Haan, talib-ilm ruka pani dhoond kar saaf karte hain aur repellent ka istamal batate hain.",community;awareness,Public health,general
141,Does papaya leaf cure dengue?,Kya papita patta dengue ka ilaj hai?,No. Evidence is inconsistent; do not replace medical care.,Nahi. Saboot mukhtalif hain; tibbi ilaj ka badal nahi.,myths;nutrition,Health education,general
142,Can I take steroids?,Kya dengue me steroids le sakta hoon?,Steroids are not routine and may be harmful unless a specialist advises.,Steroids aam tor par nahi diye jate jab tak specialist hidayat na de.,medications;unsafe,WHO,general
143,Is there a dengue antiviral?,Kya dengue ka antiviral hota hai?,No specific approved antiviral; supportive care is main treatment.,"Nahi, koi specific antiviral nahi; supportive care bunyadi hai.",treatment;supportive,WHO,general
144,Are antibiotics useful?,Kya antibiotics dengue me faida deti hain?,"No, unless a doctor suspects bacterial infection.","Nahi, jab tak bacterial infection ka shuba na ho.",medications;antibiotics,WHO,general
145,How to check dehydration?,Dehydration ka andaza kaise lagayen?,"Dry mouth, dark urine, dizziness mean dehydration—take more fluids.","Mun khushk, ghana peshab, chakkar dehydration ki nishani hain—maye barhayen.",hydration;assessment,WHO,urgent-care
146,Are energy drinks good?,Kya energy drinks dengue me theek hain?,Not recommended due to caffeine/sugar—prefer ORS or water.,Sifarish nahi hoti—caffeine aur meetha nuqsan kar sakte hain.,nutrition;hydration,Health education,general
147,Why is rest important?,Aaram kyun zaruri hai?,Rest helps recovery and reduces strain on the body.,Aaram recovery me madad karta hai aur jismani bojh kam karta hai.,home_care;rest,WHO,general
148,Is severe headache dangerous?,Shadeed sar dard khatarnak hai?,"If accompanied by vomiting or bleeding, seek urgent care.",Agar ulti ya bleeding ke sath ho to foran doctor ko dikhayen.,warning_signs;headache,WHO,urgent-care
149,Is rash needed for diagnosis?,Kya rash lazmi hota hai?,No. Many confirmed dengue cases have no rash.,"Nahi, bohat se dengue cases bina rash ke hotay hain.",diagnosis;symptoms,WHO,general
150,Does dengue cause joint pain?,Kya dengue me joron ka dard hota hai?,Yes. Joint and muscle pain are common.,"Haan, joron aur pathon me dard aam hota hai.",symptoms;pain,WHO,general
151,Which household items breed Aedes?,Kaun se bartan machar ki breeding karte hain?,"Tanks, buckets, plant trays, coolers, old tires, clogged drains.","Tankiyan, baltiyan, ghamlon ki trays, coolers, puranay tyres aur band naliyan.",mosquito_control;breeding,Public health,general
152,Do Aedes breed in dirty water?,Kya Aedes ganday pani me breed karte hain?,"No, they prefer clean stagnant water near homes.","Nahi, yeh saaf ruka pani pasand karte hain.",vector;breeding,WHO,general
153,Is fogging safe for kids?,Kya fogging bachon ke liye safe hai?,"Yes, if they stay indoors during fogging and windows are ventilated afterward.","Haan, agar fogging ke dauran bachay andar hon aur baad me kamra hawadar kiya jaye.",mosquito_control;community,Public health,general
154,What is larvicide?,Larvicide kya hota hai?,It kills mosquito larvae in water containers that cannot be emptied.,Yeh un bartanon me larva ko marta hai jise khali nahi kiya ja sakta.,vector_control;chemicals,Public health,general
155,Do window screens help?,Kya jhaliyaan madad karti hain?,Yes. Screens reduce indoor mosquitoes when maintained properly.,"Haan, jhaliyaan ghar ke andar machar kam karti hain.",prevention;household,WHO,general
156,Do mosquito coils work?,Kya mosquito coil faidemand hai?,They reduce bites but should be used with ventilation.,Kaat kam hotay hain magar kamra hawadar hona chahiye.,prevention;household,Health education,general
157,Is second dengue infection worse?,Kya doosri dafa dengue zyada khatarnak hota hai?,Yes. A different serotype may cause more severe illness.,"Haan, mukhtalif serotype se dobara dengue zyada shadeed ho sakta hai.",immunity;risks,WHO,urgent-care
158,What are dengue serotypes?,Dengue ke serotypes kya hain?,There are 4: DENV-1 to DENV-4.,Char serotypes hotay hain: DENV-1 se DENV-4.,virology;serotypes,WHO,general
159,Is gum bleeding a warning sign?,Masoodon se khoon ana khatwarning alamat hai?,Yes. Seek urgent care.,"Haan, foran muaina karwayen.",warning_signs;bleeding,WHO,urgent-care
160,What is the tourniquet test?,Tourniquet test kya hai?,A bedside test showing capillary fragility; not required for all patients.,Ek test jo ragoon ki nazukhi dikhata hai; har case me zaruri nahi.,diagnosis;clinical,WHO,general
161,Can dengue cause low sodium?,Kya dengue me sodium kam hosakta hai?,Mild hyponatremia can occur and is monitored by clinicians.,"Halka sodium kam hosakta hai, doctors nigrani karte hain.",labs;electrolytes,WHO,general
162,Should I check temperature regularly?,Bukhar bar bar check karna chahiye?,"Yes, every 4–6 hours.","Haan, har 4–6 ghantay me.",monitoring;fever,WHO,general
163,What if fever returns?,Bukhar wapas aaye to?,Get evaluated to rule out complications or another illness.,Muaina karwayen taa-ke complications ya doosri bimari na ho.,triage;follow_up,WHO,urgent-care
164,Are cold sponges helpful?,Thandi patti faidemand hai?,"Lukewarm sponging can help, but medicines and hydration are main treatment.",Halka garam pani se patti rahat deti hai magar asal ilaj dawa aur hydration hai.,home_care;fever,Health education,general
165,Does dengue cause eye pain?,Kya dengue me aankh dard hota hai?,"Yes, pain behind eyes is common.","Haan, aankh ke peeche dard aam hai.",symptoms;eye,WHO,general
166,What to eat during nausea?,Ghulati me kya khana chahiye?,Small bland meals and clear fluids.,Choti choti halki meals aur saaf maye.,nutrition;nausea,WHO,urgent-care
167,Is black stool dangerous?,Kya kala paikhana khatarnak hota hai?,"Yes, it indicates internal bleeding and is an emergency.","Haan, ye andarooni bleeding ki nishani hai—emergency hai.",bleeding;emergency,WHO,emergency
168,Can dengue cause breathing difficulty?,Saans me dushwari ho sakti hai?,Yes. It requires urgent medical attention.,"Haan, foran tibbi madad ki zarurat hoti hai.",warning_signs;respiratory,WHO,emergency
169,Is dizziness dangerous?,Kya chakkar khatarnak hain?,Severe dizziness suggests dehydration or shock—seek urgent care.,Shadeed chakkar dehydration ya shock ki taraf ishara karte hain.,warning_signs;hydration,WHO,urgent-care
170,Is confusion a warning sign?,Kya uljhan khatwarning alamat hai?,"Yes, confusion means the brain is not getting enough circulation.","Haan, uljhan circulation ki kami dikhati hai—ye emergency hai.",warning_signs;neuro,WHO,emergency
171,Does dengue cause chest pain?,Kya dengue se seene me dard hota hai?,"Mild discomfort is possible, but sharp chest pain must be evaluated.","Halki takleef hosakti hai, magar tez seene ka dard muaina chahta hai.",symptoms;cardio,WHO,urgent-care
172,Can dengue cause jaundice?,Kya dengue me peelia hosakta hai?,Rare but possible in severe liver involvement.,Kam hota hai magar shadeed liver maslon me hosakta hai.,complications;liver,WHO,urgent-care
173,Is sweating normal?,Kya dengue me paseena aam hai?,"Yes, fever fluctuations can cause sweating.","Haan, bukhar ke farq se paseena aasakta hai.",symptoms;fever,WHO,general
174,Does dengue cause swelling?,Kya dengue me soojan hoti hai?,Swelling in feet or face suggests fluid leakage and requires evaluation.,Paon ya chehray ki soojan leakage ki nishani hai—muaina zaruri hai.,severe_dengue;leakage,WHO,urgent-care
175,Can dengue cause cold hands?,Kya haath thanday hosakte hain?,"Yes, cold extremities are a sign of shock.","Haan, thanday haath shock ki nishani hain.",severe_dengue;shock,WHO,emergency
176,Should I avoid exercise?,Kya exercise se parhez karna chahiye?,"Yes, avoid strenuous activity until fully recovered.","Haan, poori sehat tak mehnat se parhez karein.",home_care;activity,WHO,general
177,Can dehydration cause rapid heartbeat?,Kya dehydration se dharkan barh jati hai?,"Yes, dehydration increases heart rate.","Haan, dehydration se dharkan tez hoti hai.",hydration;cardio,WHO,general
178,Does dengue cause numbness?,Kya dengue me sunnpan hota hai?,"Rare; if numbness is significant, seek evaluation.",Kam hota hai; zyada ho to muaina karo.,symptoms;neuro,Clinical,urgent-care
179,Is diarrhea common?,Kya dast aam hain?,"Some patients have mild diarrhea, but severe diarrhea is uncommon.",Kuch cases me halki dast hosakti hain; shadeed aam nahi.,symptoms;gastro,WHO,general
180,Can dengue cause bloating?,Kya dengue me pait phoolta hai?,Mild bloating can occur; severe bloating needs evaluation.,Halki phoolan hosakti hai; shadeed phoolan ka muaina karein.,symptoms;abdomen,Clinical,urgent-care
181,Can dengue cause back stiffness?,Kya dengu me kamar sakhti hoti hai?,"Yes, muscle inflammation can cause stiffness.","Haan, pathon ki soozish se sakhti hosakti hai.",symptoms;muscle,Clinical,general
182,Does dengue cause restlessness?,Kya dengue me bechaini hoti hai?,"Yes, can indicate dehydration or poor circulation.","Haan, dehydration ya circulation ki kami ki nishani hosakti hai.",warning_signs;general,WHO,urgent-care
183,Can dengue cause pale skin?,Kya dengue me rang feeka hosakta hai?,"Yes, paleness may indicate dehydration or low circulation.","Haan, rang feeka dehydration ya circulation ki kami ka ishara hai.",symptoms;circulation,WHO,urgent-care
184,Does dengue cause shaking?,Kya dengue me larzish hoti hai?,"Yes, fever chills can cause shaking.","Haan, bukhar se kapkapi hosakti hai.",symptoms;fever,WHO,general
185,Can dengue cause muscle cramps?,Kya dengue me pathon me jhatkay hotay hain?,"Yes, due to inflammation and dehydration.","Haan, soozish aur pani ki kami ki wajah se.",symptoms;muscle,Clinical,general
186,Is stomach swelling dangerous?,Kya pait ka phoolna khatarnak hai?,"If severe or painful, seek urgent evaluation.",Agar shadeed ya dard ke sath ho to foran muaina karein.,warning_signs;abdomen,WHO,urgent-care
187,Can dengue cause cold sweats?,Kya dengue me thanday paseenay hosakte hain?,Cold sweats may indicate shock—seek emergency care.,Thanday paseenay shock ki nishani hain—emergency hai.,severe_dengue;shock,WHO,emergency
188,Is irritability serious?,Kya chirchira-pan khatarnak hai?,"In children, irritability may signal worsening dengue.",Bachon me chirchira-pan halat bigarnay ki nishani hosakta hai.,pediatrics;warning_signs,WHO,urgent-care
189,Can dengue cause weak pulse?,Kya nabz kamzor hosakti hai?,A weak pulse is dangerous and indicates possible shock.,Kamzor nabz shock ki nishani hai.,severe_dengue;shock,WHO,emergency
190,Should I avoid spicy food?,Kya mirch masala se parhez karna chahiye?,"Yes, spicy foods may irritate the stomach—choose light meals.","Haan, mirch masala pait ko kharab kar sakta hai—halka khana behtar hai.",nutrition;home_care,Health education,general
191,Can dengue cause leg weakness?,Kya dengue me taang kamzor hoti hain?,"Yes, due to fatigue and dehydration.","Haan, thakan aur dehydration se.",symptoms;fatigue,WHO,general
192,Can dengue cause burning skin?,Kya jild me jalan hosakti hai?,Some patients feel burning or sensitivity due to fever.,Kuch log bukhar ki wajah se jild me jalan mehsoos karte hain.,symptoms;skin,Clinical,general
193,Is low urine output dangerous?,Kya kam peshab khatarnak hota hai?,"Yes, it indicates dehydration and needs urgent fluid intake.","Haan, ye dehydration ki nishani hai—maye barhayen.",hydration;warning_signs,WHO,urgent-care
